Posición (nm) 	Conteos - Pulsos				Desviación
0	14,67	19	12	13	3,785938897
5	15,67	14	16	17	1,527525232
10	15,67	13	12	22	5,507570547
15	15	16	14	15	1
20	13,67	8	14	19	5,507570547
25	13,67	12	16	13	2,081665999
30	11,67	9	15	11	3,055050463
35	12,67	11	13	14	1,527525232
40	10,67	11	9	12	1,527525232
45	13	16	11	12	2,645751311
50	9,33	11	10	7	2,081665999
55	11	11	10	12	1
60	13	9	14	16	3,605551275
65	9,67	8	12	9	2,081665999
70	11,33	14	11	9	2,516611478
75	12	14	13	9	2,645751311
80	11,33	11	13	10	1,527525232
85	17,67	13	25	15	6,429100507
90	11	8	11	14	3
95	12,33	9	12	16	3,511884584
100	8,33	9	11	5	3,055050463
105	14,33	17	14	12	2,516611478
110	12,67	12	9	17	4,041451884
115	13	12	14	13	1
120	15	15	14	16	1
125	19,33	19	24	15	4,509249753
130	19	19	15	23	4
135	18,33	20	18	17	1,527525232
140	18,67	17	19	20	1,527525232
145	16,33	16	15	18	1,527525232
150	15	15	16	14	1
155	17	15	17	19	2
160	18,67	23	19	14	4,509249753
165	21	21	20	22	1
170	25,67	23	25	29	3,055050463
175	24,33	23	22	28	3,214550254
180	32,33	32	34	31	1,527525232
185	32	33	34	29	2,645751311
190	39	41	36	40	2,645751311
195	41,33	44	39	41	2,516611478
200	33	38	29	32	4,582575695
205	34	33	37	32	2,645751311
210	33	39	31	29	5,291502622
215	25,67	22	26	29	3,511884584
220	25,67	27	26	24	1,527525232
225	30,33	27	29	35	4,163331999
230	39,33	39	42	37	2,516611478
235	42,33	39	42	46	3,511884584
240	54,33	48	51	64	8,504900548
245	57,67	53	58	62	4,509249753
250	63,67	65	67	59	4,163331999
255	69	66	68	73	3,605551275
260	57,33	62	52	58	5,033222957
265	49,67	54	52	43	5,859465277
270	44	46	48	38	5,291502622
275	38	35	43	36	4,358898944
280	40,33	42	39	40	1,527525232
285	44,33	47	41	45	3,055050463
290	55,33	48	55	63	7,505553499
295	63,33	55	70	65	7,637626158
300	75,67	76	83	68	7,505553499
305	83,67	94	75	82	9,609023537
310	87,67	84	82	97	8,144527815
315	84,33	89	87	77	6,429100507
320	74	79	66	77	7
325	71	66	70	77	5,567764363
330	62,33	71	51	65	10,26320288
335	52,33	64	44	49	10,40833
340	50,33	53	46	52	3,785938897
345	55	59	55	51	4
350	63	61	66	62	2,645751311
355	82,33	89	75	83	7,023769169
360	93,33	92	95	93	1,527525232
365	105,67	103	110	104	3,785938897
370	113	117	120	102	9,643650761
375	105,33	100	112	104	6,110100927
380	84,67	85	80	89	4,509249753
385	67,67	68	64	71	3,511884584
390	59,33	65	60	53	6,027713773
395	57	55	56	60	2,645751311
400	51	51	42	60	9
405	58,67	58	66	52	7,023769169
410	78	74	83	77	4,582575695
415	89,67	81	96	92	7,767453465
420	101	96	101	106	5
425	110,67	110	107	115	4,041451884
430	108	108	112	104	4
435	110	103	115	112	6,244997998
440	91,67	102	86	87	8,96288644
445	74,67	76	77	71	3,214550254
450	61,67	66	57	62	4,509249753
455	44	42	49	41	4,358898944
460	52	54	47	55	4,358898944
465	54,67	56	55	53	1,527525232
470	84,33	79	81	93	7,571877794
475	96,33	93	100	96	3,511884584
480	94,33	88	98	97	5,507570547
485	98,33	98	105	92	6,506407099
490	89,33	84	97	87	6,806859286
495	81,33	86	84	74	6,429100507
500	67,33	63	59	80	11,15048579
505	46	46	41	51	5
510	48,67	49	46	51	2,516611478
515	45	42	50	43	4,358898944
520	49,67	50	49	50	0,577350269
525	48,67	52	45	49	3,511884584
530	54,33	47	60	56	6,658328118
535	69,33	67	73	68	3,214550254
540	71,33	69	73	72	2,081665999
545	76	70	77	81	5,567764363
550	80,33	81	82	78	2,081665999
555	82,33	71	80	96	12,66227994
560	72,67	79	70	69	5,507570547
565	54	51	53	58	3,605551275
570	44,67	49	46	39	5,131601439
575	39,33	40	45	33	6,027713773
580	40	45	37	38	4,358898944
585	51,33	52	42	60	9,018499506
590	52,33	45	51	61	8,082903769
595	63	60	63	66	3
600	56,33	56	59	54	2,516611478
605	53,67	53	57	51	3,055050463
610	48,33	50	47	48	1,527525232
