Posición (muM) 	Voltaje (mV)				Desviación
0	7	7	5	9	2
20	5,333333333	8	3	5	2,516611478
40	5	5	4	6	1
60	4,666666667	6	4	4	1,154700538
80	4	5	4	3	1
100	6	6	7	5	1
120	7	7	8	6	1
140	6,666666667	6	5	9	2,081665999
160	11,66666667	9	11	15	3,055050463
180	13	16	9	14	3,605551275
200	15	16	17	12	2,645751311
220	19	17	22	18	2,645751311
240	25,33333333	24	25	27	1,527525232
260	28	34	27	23	5,567764363
280	32,66666667	35	29	34	3,214550254
300	42	37	44	45	4,358898944
320	47,66666667	49	46	48	1,527525232
340	51,66666667	48	59	48	6,350852961
360	58	55	57	62	3,605551275
380	58,33333333	61	51	63	6,429100507
400	59	62	58	57	2,645751311
420	58,33333333	61	59	55	3,055050463
440	58	55	64	55	5,196152423
460	58,66666667	59	61	56	2,516611478
480	49,33333333	45	51	52	3,785938897
500	44	46	50	36	7,211102551
520	41	46	38	39	4,358898944
540	36	31	37	40	4,582575695
560	28,66666667	23	25	38	8,144527815
580	26,66666667	22	25	33	5,686240703
600	25,33333333	27	21	28	3,785938897
620	21	20	23	20	1,732050808
640	19,66666667	19	19	21	1,154700538
660	18	19	17	18	1
680	18	21	16	17	2,645751311
700	15,66666667	15	19	13	3,055050463
720	10,33333333	12	10	9	1,527525232
740	11	15	9	9	3,464101615
760	8,333333333	5	11	9	3,055050463
780	7	7	9	5	2
800	6	7	5	6	1
