Posición (nm) 	Voltaje (mV)
0	11,9
5	12,9
10	14,1
15	15,1
20	15,8
25	16,2
30	16,2
35	16,1
40	15,9
45	15,4
50	15
55	14,7
60	14,7
65	15
70	15,7
75	16,9
80	18,7
85	20,8
90	23,2
95	25,9
100	28,8
105	31,6
110	33,5
115	35,7
120	36,6
125	36,7
130	36
135	34,3
140	32,1
145	29,9
150	26,9
155	24,1
160	21,9
165	20,7
170	20,8
175	22,3
180	25,6
185	29,5
190	36,1
195	42,6
200	47,7
205	55,1
210	60,9
215	66,3
220	69,5
225	70,3
230	68,7
235	64,9
240	59,4
245	53,2
250	45
255	38
260	32,2
265	28,5
270	27,8
275	30,8
280	37,3
285	46,8
290	57,6
295	71,2
300	84,7
305	97,8
310	108,4
315	114,4
320	116,4
325	113,13
330	106,4
335	95,9
340	82,8
345	68,1
350	56,3
355	46,7
360	46,9
365	35,5
370	40,4
375	50,8
380	66,8
385	85,9
390	105,4
395	122,7
400	137,9
405	150,3
410	157,3
415	156,6
420	149,6
425	134,2
430	115,3
435	94,4
440	74,8
445	57,6
450	45,7
455	42,2
460	42,2
465	50,8
470	67,3
475	87,8
480	110,1
485	131,5
490	148,9
495	160,1
500	165,1
505	162,5
510	152,2
515	135,8
520	114,4
525	91,5
530	71
535	54,2
540	42,2
545	35,6
550	36,8
555	43,3
560	55
565	72,5
570	89,7
575	104,6
580	116,3
585	123,2
590	124,5
595	120,5
600	115,6
605	102,6
610	87,2
615	72,2
620	55,5
625	43,2
630	33,7
635	29
640	28
645	34
650	36,1
655	43,7
660	51,4
665	60,1
670	66,6
675	70,8
680	72,3
685	71,3
690	67,8
695	62,3
700	55,1
705	47,5
710	40
715	32,9
720	27,1
725	23,3
730	21
735	20,8
740	21,9
745	24,2
750	27,4
755	31
760	34,5
765	37,5
770	39,3
775	39,7
780	50,9
785	48,9
790	41
795	34
800	27,5
805	23,8
810	21,5
815	21
820	22
825	24,5
830	27,8
835	31,4
840	34,8
845	37,8
850	39,7
855	40,1
860	39,3
865	37,2
870	34,3
875	31
880	27
885	23,4
890	20
895	17,6
900	16
905	15,5
910	15,8
915	16,7
920	18
925	19
930	19,7
935	19,8
940	19
945	16,5
950	15,2
955	14,9
