Posición (muM) 	Voltaje (mV)
0	73
20	75,4
40	77,8
60	80,3
80	83
100	86,1
120	90
140	92,6
160	96
180	98,4
200	101,2
220	103,5
240	105,7
260	107,7
280	109,6
300	110,2
320	112,4
340	113,1
360	113,7
380	113,5
400	113,2
420	113,5
440	112,8
460	112,9
480	112,4
500	111,4
520	111,2
540	111
560	110,6
580	110,3
600	110
620	110,5
640	110,2
660	110
680	109,8
700	109,4
720	109,5
740	109,3
760	109
780	108,2
800	108,2
820	107,2
840	106
860	105,4
880	104
900	102,7
920	101,2
940	99,5
960	98
980	95,7
1000	93,7
1020	91,5
1040	89,5
1060	87,2
1080	85
1100	82,7
1120	80,4
1140	78
1160	75,8
1180	73,9
1200	72
1220	70,2
1240	68,7
1260	67,3
1280	66,9
1300	67
1320	66,6
1340	66,5
1360	66,1
1380	66
1400	65,9
1420	65,9
1440	65,9
1460	65,8
1480	65,7
1500	65,5
1520	65,7
1540	65,7
