Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,54
0,04	0,52
0,07	0,53
0,09	0,53
0,12	0,53
0,14	0,51
0,17	0,51
0,19	0,50
0,21	0,52
0,24	0,50
0,26	0,50
0,29	0,49
0,31	0,49
0,34	0,48
0,36	0,49
0,39	0,46
0,41	0,46
0,43	0,46
0,46	0,48
0,48	0,47
0,51	0,49
0,53	0,48
0,56	0,52
0,58	0,51
0,61	0,51
0,63	0,49
0,65	0,50
0,68	0,48
0,70	0,51
0,73	0,48
0,75	0,50
0,78	0,49
0,80	0,52
0,83	0,52
0,85	0,53
0,87	0,50
0,90	0,52
0,92	0,50
0,95	0,51
0,97	0,49
1,00	0,50
1,02	0,48
1,05	0,50
1,07	0,48
1,09	0,50
1,12	0,47
1,14	0,48
1,17	0,47
1,19	0,48
1,22	0,48
1,24	0,49
1,26	0,47
1,29	0,50
1,31	0,50
1,34	0,49
1,36	0,49
1,39	0,50
1,41	0,48
1,44	0,50
1,46	0,49
1,48	0,50
1,51	0,49
1,53	0,49
1,56	0,49
1,58	0,50
1,61	0,49
1,63	0,50
1,66	0,49
1,68	0,48
1,70	0,47
1,73	0,46
1,75	0,48
1,78	0,47
1,80	0,48
1,83	0,49
1,85	0,48
1,88	0,47
1,90	0,51
1,92	0,49
1,95	0,50
1,97	0,48
2,00	0,47
2,02	0,48
2,05	0,51
2,07	0,48
2,10	0,49
2,12	0,47
2,14	0,49
2,17	0,49
2,19	0,51
2,22	0,50
2,24	0,52
2,27	0,50
2,29	0,53
2,31	0,51
2,34	0,52
2,36	0,51
2,39	0,52
2,41	0,49
2,44	0,50
2,46	0,48
2,49	0,49
2,51	0,46
2,53	0,47
2,56	0,46
2,58	0,46
2,61	0,44
2,63	0,48
2,66	0,46
2,68	0,48
2,71	0,46
2,73	0,48
2,75	0,48
2,78	0,50
2,80	0,47
2,83	0,50
2,85	0,48
2,88	0,50
2,90	0,51
2,93	0,52
2,95	0,50
2,97	0,52
3,00	0,49
3,02	0,53
3,05	0,51
3,07	0,51
3,10	0,49
3,12	0,50
3,15	0,48
3,17	0,51
3,19	0,48
3,22	0,49
3,24	0,48
3,27	0,48
3,29	0,48
3,32	0,49
3,34	0,47
3,36	0,50
3,39	0,49
3,41	0,51
3,44	0,52
3,46	0,52
3,49	0,52
3,51	0,53
3,54	0,49
3,56	0,50
3,58	0,50
3,61	0,50
3,63	0,52
3,66	0,54
3,68	0,54
3,71	0,55
3,73	0,55
3,76	0,57
3,78	0,57
3,80	0,55
3,83	0,54
3,85	0,51
3,88	0,52
3,90	0,51
3,93	0,49
3,95	0,47
3,98	0,49
4,00	0,46
4,02	0,49
4,05	0,48
4,07	0,50
4,10	0,51
4,12	0,52
4,15	0,49
4,17	0,52
4,20	0,51
4,22	0,52
4,24	0,50
4,27	0,50
4,29	0,50
4,32	0,51
4,34	0,51
4,37	0,54
4,39	0,53
4,42	0,55
4,44	0,53
4,46	0,54
4,49	0,54
4,51	0,55
4,54	0,51
4,56	0,52
4,59	0,50
4,61	0,52
4,63	0,50
4,66	0,50
4,68	0,49
4,71	0,51
4,73	0,48
4,76	0,52
4,78	0,49
4,81	0,51
4,83	0,52
4,85	0,54
4,88	0,53
4,90	0,55
4,93	0,53
4,95	0,56
4,98	0,55
5,00	0,54
5,03	0,53
5,05	0,53
5,07	0,51
5,10	0,54
5,12	0,54
5,15	0,55
5,17	0,55
5,20	0,54
5,22	0,56
5,25	0,57
5,27	0,55
5,29	0,56
5,32	0,55
5,34	0,55
5,37	0,54
5,39	0,53
5,42	0,55
5,44	0,55
5,47	0,54
5,49	0,55
5,51	0,56
5,54	0,56
5,56	0,60
5,59	0,58
5,61	0,59
5,64	0,58
5,66	0,58
5,68	0,57
5,71	0,59
5,73	0,57
5,76	0,60
5,78	0,59
5,81	0,60
5,83	0,62
5,86	0,64
5,88	0,62
5,90	0,62
5,93	0,59
5,95	0,63
5,98	0,62
6,00	0,62
6,03	0,61
6,05	0,62
6,08	0,60
6,10	0,63
6,12	0,61
6,15	0,63
6,17	0,61
6,20	0,63
6,22	0,63
6,25	0,65
6,27	0,62
6,30	0,65
6,32	0,64
6,34	0,67
6,37	0,66
6,39	0,67
6,42	0,66
6,44	0,68
6,47	0,65
6,49	0,68
6,52	0,65
6,54	0,67
6,56	0,69
6,59	0,70
6,61	0,70
6,64	0,72
6,66	0,71
6,69	0,76
6,71	0,75
6,73	0,75
6,76	0,74
6,78	0,72
6,81	0,72
6,83	0,73
6,86	0,71
6,88	0,72
6,91	0,70
6,93	0,72
6,95	0,77
6,98	0,78
