Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,43
0,04	0,43
0,07	0,43
0,09	0,43
0,12	0,44
0,14	0,47
0,17	0,46
0,19	0,47
0,21	0,48
0,24	0,47
0,26	0,48
0,29	0,45
0,31	0,44
0,34	0,44
0,36	0,43
0,39	0,40
0,41	0,43
0,43	0,41
0,46	0,44
0,48	0,42
0,51	0,44
0,53	0,45
0,56	0,48
0,58	0,45
0,61	0,46
0,63	0,42
0,65	0,43
0,68	0,41
0,70	0,41
0,73	0,40
0,75	0,42
0,78	0,40
0,80	0,44
0,83	0,42
0,85	0,44
0,87	0,44
0,90	0,45
0,92	0,43
0,95	0,44
0,97	0,42
1,00	0,44
1,02	0,42
1,05	0,42
1,07	0,41
1,09	0,42
1,12	0,41
1,14	0,44
1,17	0,44
1,19	0,45
1,22	0,45
1,24	0,45
1,26	0,47
1,29	0,46
1,31	0,44
1,34	0,45
1,36	0,43
1,39	0,42
1,41	0,41
1,44	0,39
1,46	0,40
1,48	0,40
1,51	0,38
1,53	0,39
1,56	0,38
1,58	0,39
1,61	0,42
1,63	0,42
1,66	0,43
1,68	0,43
1,70	0,42
1,73	0,42
1,75	0,43
1,78	0,40
1,80	0,41
1,83	0,40
1,85	0,40
1,88	0,41
1,90	0,42
1,92	0,44
1,95	0,45
1,97	0,44
2,00	0,48
2,02	0,48
2,05	0,49
2,07	0,49
2,10	0,45
2,12	0,44
2,14	0,45
2,17	0,41
2,19	0,43
2,22	0,41
2,24	0,41
2,27	0,42
2,29	0,43
2,31	0,41
2,34	0,46
2,36	0,45
2,39	0,47
2,41	0,46
2,44	0,47
2,46	0,46
2,49	0,47
2,51	0,43
2,53	0,45
2,56	0,42
2,58	0,43
2,61	0,43
2,63	0,45
2,66	0,44
2,68	0,45
2,71	0,43
2,73	0,48
2,75	0,45
2,78	0,46
2,80	0,44
2,83	0,43
2,85	0,41
2,88	0,43
2,90	0,39
2,93	0,41
2,95	0,39
2,97	0,40
3,00	0,42
3,02	0,43
3,05	0,42
3,07	0,46
3,10	0,44
3,12	0,46
3,15	0,47
3,17	0,48
3,19	0,48
3,22	0,48
3,24	0,45
3,27	0,47
3,29	0,45
3,32	0,45
3,34	0,44
3,36	0,44
3,39	0,44
3,41	0,44
3,44	0,43
3,46	0,47
3,49	0,47
3,51	0,46
3,54	0,45
3,56	0,43
3,58	0,43
3,61	0,42
3,63	0,40
3,66	0,39
3,68	0,40
3,71	0,39
3,73	0,43
3,76	0,42
3,78	0,43
3,80	0,44
3,83	0,44
3,85	0,43
3,88	0,45
3,90	0,42
3,93	0,43
3,95	0,42
3,98	0,42
4,00	0,42
4,02	0,43
4,05	0,42
4,07	0,44
4,10	0,43
4,12	0,46
4,15	0,45
4,17	0,45
4,20	0,46
4,22	0,47
4,24	0,45
4,27	0,47
4,29	0,42
4,32	0,43
4,34	0,42
4,37	0,42
4,39	0,41
4,42	0,41
4,44	0,39
4,46	0,43
4,49	0,42
4,51	0,44
4,54	0,44
4,56	0,46
4,59	0,47
4,61	0,50
4,63	0,48
4,66	0,48
4,68	0,48
4,71	0,48
4,73	0,48
4,76	0,46
4,78	0,45
4,81	0,46
4,83	0,47
4,85	0,46
4,88	0,48
4,90	0,47
4,93	0,51
4,95	0,53
4,98	0,53
5,00	0,53
5,03	0,52
5,05	0,49
5,07	0,50
5,10	0,48
5,12	0,47
5,15	0,46
5,17	0,47
5,20	0,48
5,22	0,49
5,25	0,47
5,27	0,49
5,29	0,49
5,32	0,51
5,34	0,50
5,37	0,51
5,39	0,50
5,42	0,53
5,44	0,51
5,47	0,53
5,49	0,48
5,51	0,50
5,54	0,49
5,56	0,50
5,59	0,50
5,61	0,51
5,64	0,49
5,66	0,56
5,68	0,54
5,71	0,56
5,73	0,54
5,76	0,54
5,78	0,52
5,81	0,53
5,83	0,50
5,86	0,52
5,88	0,49
5,90	0,51
5,93	0,53
5,95	0,55
5,98	0,54
6,00	0,56
6,03	0,54
6,05	0,58
6,08	0,59
6,10	0,59
6,12	0,59
6,15	0,60
6,17	0,58
6,20	0,61
6,22	0,57
6,25	0,57
6,27	0,58
6,30	0,57
6,32	0,57
6,34	0,59
6,37	0,59
6,39	0,64
6,42	0,64
6,44	0,63
6,47	0,64
6,49	0,66
6,52	0,65
6,54	0,65
6,56	0,64
6,59	0,64
6,61	0,63
6,64	0,64
6,66	0,63
6,69	0,65
6,71	0,65
6,73	0,67
6,76	0,67
6,78	0,68
6,81	0,71
6,83	0,69
6,86	0,69
6,88	0,69
6,91	0,70
6,93	0,71
6,95	0,72
6,98	0,71
