Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,31
0,04	0,32
0,07	0,33
0,09	0,35
0,12	0,36
0,14	0,35
0,17	0,36
0,19	0,34
0,21	0,34
0,24	0,34
0,26	0,32
0,29	0,32
0,31	0,31
0,34	0,31
0,36	0,33
0,39	0,32
0,41	0,34
0,43	0,35
0,46	0,36
0,48	0,38
0,51	0,36
0,53	0,35
0,56	0,35
0,58	0,34
0,61	0,34
0,63	0,33
0,65	0,31
0,68	0,33
0,70	0,35
0,73	0,33
0,75	0,32
0,78	0,32
0,80	0,33
0,83	0,36
0,85	0,36
0,87	0,35
0,90	0,36
0,92	0,36
0,95	0,36
0,97	0,35
1,00	0,33
1,02	0,33
1,05	0,32
1,07	0,32
1,09	0,35
1,12	0,34
1,14	0,34
1,17	0,34
1,19	0,35
1,22	0,37
1,24	0,36
1,26	0,35
1,29	0,35
1,31	0,35
1,34	0,35
1,36	0,37
1,39	0,35
1,41	0,35
1,44	0,34
1,46	0,35
1,48	0,35
1,51	0,35
1,53	0,32
1,56	0,36
1,58	0,35
1,61	0,38
1,63	0,38
1,66	0,37
1,68	0,37
1,70	0,39
1,73	0,36
1,75	0,39
1,78	0,35
1,80	0,36
1,83	0,37
1,85	0,37
1,88	0,36
1,90	0,37
1,92	0,34
1,95	0,37
1,97	0,36
2,00	0,36
2,02	0,36
2,05	0,37
2,07	0,35
2,10	0,36
2,12	0,33
2,14	0,33
2,17	0,32
2,19	0,33
2,22	0,34
2,24	0,35
2,27	0,35
2,29	0,40
2,31	0,39
2,34	0,39
2,36	0,38
2,39	0,37
2,41	0,37
2,44	0,38
2,46	0,35
2,49	0,36
2,51	0,34
2,53	0,35
2,56	0,34
2,58	0,35
2,61	0,34
2,63	0,35
2,66	0,35
2,68	0,36
2,71	0,40
2,73	0,41
2,75	0,41
2,78	0,42
2,80	0,40
2,83	0,42
2,85	0,40
2,88	0,35
2,90	0,34
2,93	0,34
2,95	0,34
2,97	0,34
3,00	0,33
3,02	0,36
3,05	0,36
3,07	0,35
3,10	0,36
3,12	0,34
3,15	0,36
3,17	0,35
3,19	0,35
3,22	0,34
3,24	0,34
3,27	0,34
3,29	0,36
3,32	0,35
3,34	0,35
3,36	0,35
3,39	0,36
3,41	0,38
3,44	0,38
3,46	0,35
3,49	0,35
3,51	0,35
3,54	0,36
3,56	0,36
3,58	0,35
3,61	0,34
3,63	0,35
3,66	0,35
3,68	0,37
3,71	0,35
3,73	0,34
3,76	0,35
3,78	0,35
3,80	0,36
3,83	0,38
3,85	0,37
3,88	0,40
3,90	0,40
3,93	0,40
3,95	0,40
3,98	0,37
4,00	0,36
4,02	0,37
4,05	0,35
4,07	0,35
4,10	0,36
4,12	0,36
4,15	0,37
4,17	0,37
4,20	0,36
4,22	0,38
4,24	0,38
4,27	0,38
4,29	0,40
4,32	0,40
4,34	0,40
4,37	0,40
4,39	0,39
4,42	0,40
4,44	0,40
4,46	0,39
4,49	0,40
4,51	0,39
4,54	0,38
4,56	0,39
4,59	0,38
4,61	0,38
4,63	0,38
4,66	0,38
4,68	0,39
4,71	0,38
4,73	0,38
4,76	0,39
4,78	0,39
4,81	0,39
4,83	0,39
4,85	0,40
4,88	0,42
4,90	0,42
4,93	0,41
4,95	0,40
4,98	0,41
5,00	0,41
5,03	0,44
5,05	0,41
5,07	0,42
5,10	0,43
5,12	0,45
5,15	0,45
5,17	0,47
5,20	0,44
5,22	0,47
5,25	0,45
5,27	0,46
5,29	0,44
5,32	0,44
5,34	0,41
5,37	0,42
5,39	0,41
5,42	0,42
5,44	0,39
5,47	0,40
5,49	0,40
5,51	0,43
5,54	0,42
5,56	0,42
5,59	0,42
5,61	0,44
5,64	0,42
5,66	0,42
5,68	0,41
5,71	0,41
5,73	0,42
5,76	0,46
5,78	0,46
5,81	0,48
5,83	0,48
5,86	0,48
5,88	0,51
5,90	0,51
5,93	0,48
5,95	0,49
5,98	0,48
6,00	0,48
6,03	0,48
6,05	0,46
6,08	0,45
6,10	0,47
6,12	0,46
6,15	0,49
6,17	0,46
6,20	0,46
6,22	0,47
6,25	0,49
6,27	0,48
6,30	0,50
6,32	0,48
6,34	0,51
6,37	0,53
6,39	0,52
6,42	0,54
6,44	0,54
6,47	0,53
6,49	0,55
6,52	0,56
6,54	0,56
6,56	0,57
6,59	0,55
6,61	0,57
6,64	0,57
6,66	0,57
6,69	0,58
6,71	0,58
6,73	0,57
6,76	0,59
6,78	0,58
6,81	0,61
6,83	0,60
6,86	0,60
6,88	0,61
6,91	0,60
6,93	0,60
6,95	0,63
6,98	0,61
