Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,32
0,04	0,32
0,07	0,35
0,09	0,37
0,12	0,40
0,14	0,38
0,17	0,41
0,19	0,37
0,21	0,39
0,24	0,37
0,26	0,37
0,29	0,36
0,31	0,37
0,34	0,35
0,36	0,39
0,39	0,37
0,41	0,39
0,43	0,39
0,46	0,40
0,48	0,38
0,51	0,41
0,53	0,39
0,56	0,41
0,58	0,38
0,61	0,39
0,63	0,37
0,65	0,38
0,68	0,35
0,70	0,37
0,73	0,36
0,75	0,39
0,78	0,38
0,80	0,40
0,83	0,41
0,85	0,41
0,87	0,41
0,90	0,42
0,92	0,38
0,95	0,38
0,97	0,36
1,00	0,36
1,02	0,37
1,05	0,36
1,07	0,36
1,09	0,39
1,12	0,38
1,14	0,38
1,17	0,41
1,19	0,40
1,22	0,42
1,24	0,40
1,26	0,40
1,29	0,40
1,31	0,42
1,34	0,38
1,36	0,40
1,39	0,38
1,41	0,38
1,44	0,38
1,46	0,39
1,48	0,37
1,51	0,37
1,53	0,36
1,56	0,41
1,58	0,40
1,61	0,41
1,63	0,40
1,66	0,40
1,68	0,39
1,70	0,39
1,73	0,35
1,75	0,37
1,78	0,34
1,80	0,35
1,83	0,36
1,85	0,38
1,88	0,37
1,90	0,41
1,92	0,38
1,95	0,42
1,97	0,40
2,00	0,40
2,02	0,38
2,05	0,40
2,07	0,36
2,10	0,39
2,12	0,34
2,14	0,37
2,17	0,36
2,19	0,38
2,22	0,36
2,24	0,38
2,27	0,35
2,29	0,41
2,31	0,38
2,34	0,40
2,36	0,39
2,39	0,38
2,41	0,37
2,44	0,39
2,46	0,36
2,49	0,37
2,51	0,33
2,53	0,34
2,56	0,37
2,58	0,38
2,61	0,37
2,63	0,37
2,66	0,37
2,68	0,39
2,71	0,39
2,73	0,38
2,75	0,39
2,78	0,38
2,80	0,38
2,83	0,38
2,85	0,38
2,88	0,35
2,90	0,36
2,93	0,35
2,95	0,36
2,97	0,36
3,00	0,36
3,02	0,39
3,05	0,41
3,07	0,38
3,10	0,40
3,12	0,36
3,15	0,38
3,17	0,37
3,19	0,36
3,22	0,34
3,24	0,36
3,27	0,33
3,29	0,38
3,32	0,36
3,34	0,39
3,36	0,37
3,39	0,39
3,41	0,37
3,44	0,40
3,46	0,37
3,49	0,39
3,51	0,36
3,54	0,37
3,56	0,36
3,58	0,37
3,61	0,35
3,63	0,37
3,66	0,36
3,68	0,41
3,71	0,40
3,73	0,41
3,76	0,43
3,78	0,43
3,80	0,41
3,83	0,43
3,85	0,36
3,88	0,38
3,90	0,36
3,93	0,36
3,95	0,35
3,98	0,36
4,00	0,34
4,02	0,40
4,05	0,37
4,07	0,39
4,10	0,39
4,12	0,40
4,15	0,41
4,17	0,42
4,20	0,37
4,22	0,39
4,24	0,38
4,27	0,37
4,29	0,38
4,32	0,37
4,34	0,35
4,37	0,38
4,39	0,38
4,42	0,41
4,44	0,41
4,46	0,38
4,49	0,42
4,51	0,41
4,54	0,42
4,56	0,42
4,59	0,39
4,61	0,38
4,63	0,40
4,66	0,38
4,68	0,40
4,71	0,38
4,73	0,38
4,76	0,39
4,78	0,41
4,81	0,40
4,83	0,41
4,85	0,41
4,88	0,43
4,90	0,43
4,93	0,46
4,95	0,44
4,98	0,46
5,00	0,44
5,03	0,44
5,05	0,40
5,07	0,41
5,10	0,37
5,12	0,39
5,15	0,37
5,17	0,39
5,20	0,38
5,22	0,44
5,25	0,41
5,27	0,44
5,29	0,41
5,32	0,42
5,34	0,40
5,37	0,40
5,39	0,35
5,42	0,39
5,44	0,35
5,47	0,38
5,49	0,39
5,51	0,41
5,54	0,40
5,56	0,44
5,59	0,41
5,61	0,44
5,64	0,41
5,66	0,42
5,68	0,40
5,71	0,42
5,73	0,40
5,76	0,43
5,78	0,41
5,81	0,42
5,83	0,41
5,86	0,44
5,88	0,42
5,90	0,44
5,93	0,41
5,95	0,45
5,98	0,43
6,00	0,44
6,03	0,43
6,05	0,44
6,08	0,43
6,10	0,45
6,12	0,44
6,15	0,47
6,17	0,47
6,20	0,46
6,22	0,48
6,25	0,48
6,27	0,48
6,30	0,48
6,32	0,47
6,34	0,48
6,37	0,49
6,39	0,49
6,42	0,50
6,44	0,49
6,47	0,51
6,49	0,50
6,52	0,49
6,54	0,49
6,56	0,50
6,59	0,47
6,61	0,51
6,64	0,49
6,66	0,51
6,69	0,51
6,71	0,52
6,73	0,49
6,76	0,52
6,78	0,50
6,81	0,51
6,83	0,50
6,86	0,52
6,88	0,51
6,91	0,52
6,93	0,50
6,95	0,54
6,98	0,53
