Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,46
0,04	0,47
0,07	0,50
0,09	0,50
0,12	0,53
0,14	0,53
0,17	0,52
0,19	0,51
0,21	0,52
0,24	0,52
0,26	0,54
0,29	0,53
0,31	0,54
0,34	0,54
0,36	0,55
0,39	0,55
0,41	0,56
0,43	0,54
0,46	0,55
0,48	0,53
0,51	0,53
0,53	0,52
0,56	0,51
0,58	0,51
0,61	0,51
0,63	0,50
0,65	0,51
0,68	0,49
0,70	0,50
0,73	0,50
0,75	0,50
0,78	0,51
0,80	0,52
0,83	0,51
0,85	0,53
0,87	0,53
0,90	0,52
0,92	0,53
0,95	0,53
0,97	0,52
1,00	0,54
1,02	0,54
1,05	0,54
1,07	0,54
1,09	0,54
1,12	0,54
1,14	0,55
1,17	0,53
1,19	0,54
1,22	0,53
1,24	0,53
1,26	0,53
1,29	0,52
1,31	0,52
1,34	0,52
1,36	0,51
1,39	0,51
1,41	0,50
1,44	0,49
1,46	0,52
1,48	0,51
1,51	0,53
1,53	0,51
1,56	0,51
1,58	0,53
1,61	0,54
1,63	0,51
1,66	0,52
1,68	0,50
1,70	0,52
1,73	0,53
1,75	0,54
1,78	0,54
1,80	0,55
1,83	0,53
1,85	0,55
1,88	0,55
1,90	0,53
1,92	0,52
1,95	0,52
1,97	0,51
2,00	0,52
2,02	0,51
2,05	0,51
2,07	0,50
2,10	0,50
2,12	0,51
2,14	0,50
2,17	0,50
2,19	0,52
2,22	0,50
2,24	0,52
2,27	0,52
2,29	0,53
2,31	0,54
2,34	0,54
2,36	0,52
2,39	0,54
2,41	0,53
2,44	0,53
2,46	0,54
2,49	0,55
2,51	0,54
2,53	0,54
2,56	0,53
2,58	0,54
2,61	0,55
2,63	0,52
2,66	0,52
2,68	0,50
2,71	0,52
2,73	0,52
2,75	0,53
2,78	0,51
2,80	0,53
2,83	0,51
2,85	0,55
2,88	0,51
2,90	0,53
2,93	0,52
2,95	0,53
2,97	0,52
3,00	0,54
3,02	0,52
3,05	0,57
3,07	0,55
3,10	0,56
3,12	0,54
3,15	0,55
3,17	0,53
3,19	0,56
3,22	0,53
3,24	0,55
3,27	0,54
3,29	0,54
3,32	0,55
3,34	0,58
3,36	0,54
3,39	0,55
3,41	0,52
3,44	0,53
3,46	0,52
3,49	0,52
3,51	0,51
3,54	0,52
3,56	0,51
3,58	0,53
3,61	0,53
3,63	0,54
3,66	0,55
3,68	0,56
3,71	0,56
3,73	0,57
3,76	0,55
3,78	0,55
3,80	0,55
3,83	0,53
3,85	0,54
3,88	0,53
3,90	0,53
3,93	0,56
3,95	0,57
3,98	0,57
4,00	0,58
4,02	0,57
4,05	0,59
4,07	0,59
4,10	0,57
4,12	0,57
4,15	0,55
4,17	0,53
4,20	0,55
4,22	0,53
4,24	0,54
4,27	0,52
4,29	0,54
4,32	0,55
4,34	0,57
4,37	0,55
4,39	0,59
4,42	0,58
4,44	0,60
4,46	0,57
4,49	0,58
4,51	0,56
4,54	0,59
4,56	0,55
4,59	0,56
4,61	0,55
4,63	0,57
4,66	0,60
4,68	0,60
4,71	0,59
4,73	0,59
4,76	0,58
4,78	0,60
4,81	0,60
4,83	0,57
4,85	0,57
4,88	0,57
4,90	0,57
4,93	0,57
4,95	0,55
4,98	0,56
5,00	0,54
5,03	0,55
5,05	0,56
5,07	0,57
5,10	0,57
5,12	0,60
5,15	0,60
5,17	0,63
5,20	0,63
5,22	0,63
5,25	0,63
5,27	0,64
5,29	0,61
5,32	0,62
5,34	0,60
5,37	0,60
5,39	0,62
5,42	0,62
5,44	0,62
5,47	0,64
5,49	0,64
5,51	0,67
5,54	0,67
5,56	0,66
5,59	0,66
5,61	0,65
5,64	0,64
5,66	0,64
5,68	0,63
5,71	0,64
5,73	0,64
5,76	0,64
5,78	0,67
5,81	0,67
5,83	0,67
5,86	0,70
5,88	0,69
5,90	0,69
5,93	0,70
5,95	0,69
5,98	0,70
6,00	0,69
6,03	0,68
6,05	0,68
6,08	0,69
6,10	0,68
6,12	0,71
6,15	0,71
6,17	0,72
6,20	0,72
6,22	0,72
6,25	0,75
6,27	0,76
6,30	0,73
6,32	0,74
6,34	0,72
6,37	0,74
6,39	0,73
6,42	0,72
6,44	0,72
6,47	0,73
6,49	0,73
6,52	0,76
6,54	0,75
6,56	0,76
6,59	0,78
6,61	0,79
6,64	0,79
6,66	0,81
6,69	0,80
6,71	0,82
6,73	0,82
6,76	0,81
6,78	0,81
6,81	0,81
6,83	0,81
6,86	0,81
6,88	0,81
6,91	0,83
6,93	0,84
6,95	0,84
6,98	0,88
