Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,53
0,04	0,52
0,07	0,53
0,09	0,53
0,12	0,52
0,14	0,51
0,17	0,52
0,19	0,49
0,21	0,50
0,24	0,49
0,26	0,49
0,29	0,51
0,31	0,52
0,34	0,51
0,36	0,53
0,39	0,53
0,41	0,55
0,43	0,55
0,46	0,55
0,48	0,55
0,51	0,55
0,53	0,52
0,56	0,53
0,58	0,52
0,61	0,52
0,63	0,52
0,65	0,52
0,68	0,53
0,70	0,54
0,73	0,53
0,75	0,56
0,78	0,56
0,80	0,54
0,83	0,54
0,85	0,51
0,87	0,51
0,90	0,51
0,92	0,49
0,95	0,49
0,97	0,49
1,00	0,50
1,02	0,53
1,05	0,52
1,07	0,53
1,09	0,55
1,12	0,56
1,14	0,56
1,17	0,57
1,19	0,55
1,22	0,55
1,24	0,54
1,26	0,53
1,29	0,52
1,31	0,52
1,34	0,51
1,36	0,53
1,39	0,52
1,41	0,53
1,44	0,52
1,46	0,52
1,48	0,54
1,51	0,54
1,53	0,53
1,56	0,54
1,58	0,52
1,61	0,52
1,63	0,52
1,66	0,51
1,68	0,50
1,70	0,50
1,73	0,49
1,75	0,52
1,78	0,52
1,80	0,52
1,83	0,53
1,85	0,52
1,88	0,53
1,90	0,54
1,92	0,54
1,95	0,55
1,97	0,55
2,00	0,53
2,02	0,54
2,05	0,53
2,07	0,52
2,10	0,51
2,12	0,51
2,14	0,52
2,17	0,52
2,19	0,51
2,22	0,55
2,24	0,55
2,27	0,55
2,29	0,55
2,31	0,53
2,34	0,51
2,36	0,52
2,39	0,49
2,41	0,50
2,44	0,49
2,46	0,49
2,49	0,51
2,51	0,51
2,53	0,51
2,56	0,55
2,58	0,53
2,61	0,55
2,63	0,53
2,66	0,53
2,68	0,53
2,71	0,54
2,73	0,50
2,75	0,53
2,78	0,49
2,80	0,52
2,83	0,51
2,85	0,53
2,88	0,53
2,90	0,55
2,93	0,52
2,95	0,58
2,97	0,57
3,00	0,57
3,02	0,55
3,05	0,55
3,07	0,52
3,10	0,54
3,12	0,50
3,15	0,52
3,17	0,49
3,19	0,50
3,22	0,50
3,24	0,52
3,27	0,50
3,29	0,52
3,32	0,50
3,34	0,53
3,36	0,52
3,39	0,53
3,41	0,52
3,44	0,53
3,46	0,52
3,49	0,54
3,51	0,52
3,54	0,52
3,56	0,51
3,58	0,51
3,61	0,51
3,63	0,52
3,66	0,50
3,68	0,55
3,71	0,55
3,73	0,55
3,76	0,54
3,78	0,52
3,80	0,54
3,83	0,54
3,85	0,51
3,88	0,50
3,90	0,49
3,93	0,48
3,95	0,51
3,98	0,50
4,00	0,51
4,02	0,52
4,05	0,53
4,07	0,54
4,10	0,56
4,12	0,55
4,15	0,56
4,17	0,55
4,20	0,55
4,22	0,54
4,24	0,53
4,27	0,52
4,29	0,53
4,32	0,51
4,34	0,52
4,37	0,52
4,39	0,53
4,42	0,56
4,44	0,55
4,46	0,54
4,49	0,55
4,51	0,53
4,54	0,54
4,56	0,53
4,59	0,52
4,61	0,51
4,63	0,50
4,66	0,48
4,68	0,51
4,71	0,49
4,73	0,51
4,76	0,51
4,78	0,52
4,81	0,53
4,83	0,53
4,85	0,52
4,88	0,53
4,90	0,52
4,93	0,53
4,95	0,54
4,98	0,53
5,00	0,53
5,03	0,53
5,05	0,52
5,07	0,54
5,10	0,54
5,12	0,53
5,15	0,56
5,17	0,57
5,20	0,56
5,22	0,57
5,25	0,56
5,27	0,55
5,29	0,54
5,32	0,53
5,34	0,53
5,37	0,51
5,39	0,50
5,42	0,52
5,44	0,51
5,47	0,52
5,49	0,52
5,51	0,52
5,54	0,53
5,56	0,55
5,59	0,53
5,61	0,54
5,64	0,54
5,66	0,54
5,68	0,55
5,71	0,53
5,73	0,53
5,76	0,54
5,78	0,54
5,81	0,55
5,83	0,57
5,86	0,56
5,88	0,58
5,90	0,56
5,93	0,56
5,95	0,56
5,98	0,55
6,00	0,54
6,03	0,54
6,05	0,54
6,08	0,55
6,10	0,53
6,12	0,54
6,15	0,55
6,17	0,55
6,20	0,55
6,22	0,55
6,25	0,54
6,27	0,57
6,30	0,56
6,32	0,55
6,34	0,56
6,37	0,56
6,39	0,55
6,42	0,58
6,44	0,55
6,47	0,56
6,49	0,55
6,52	0,55
6,54	0,56
6,56	0,56
6,59	0,54
6,61	0,57
6,64	0,56
6,66	0,57
6,69	0,56
6,71	0,56
6,73	0,55
6,76	0,57
6,78	0,56
6,81	0,58
6,83	0,56
6,86	0,57
6,88	0,57
6,91	0,58
6,93	0,57
6,95	0,58
6,98	0,56
