Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,44
0,04	0,44
0,07	0,43
0,09	0,44
0,12	0,43
0,14	0,43
0,17	0,42
0,19	0,43
0,21	0,41
0,24	0,43
0,26	0,42
0,29	0,44
0,31	0,43
0,34	0,43
0,36	0,43
0,39	0,43
0,41	0,42
0,43	0,42
0,46	0,40
0,48	0,40
0,51	0,41
0,53	0,42
0,56	0,42
0,58	0,42
0,61	0,41
0,63	0,42
0,65	0,42
0,68	0,42
0,70	0,43
0,73	0,42
0,75	0,43
0,78	0,41
0,80	0,42
0,83	0,42
0,85	0,42
0,87	0,39
0,90	0,40
0,92	0,40
0,95	0,43
0,97	0,41
1,00	0,43
1,02	0,40
1,05	0,42
1,07	0,41
1,09	0,43
1,12	0,39
1,14	0,41
1,17	0,40
1,19	0,42
1,22	0,40
1,24	0,42
1,26	0,40
1,29	0,43
1,31	0,41
1,34	0,41
1,36	0,41
1,39	0,43
1,41	0,41
1,44	0,45
1,46	0,44
1,48	0,45
1,51	0,44
1,53	0,46
1,56	0,44
1,58	0,45
1,61	0,41
1,63	0,44
1,66	0,40
1,68	0,42
1,70	0,41
1,73	0,42
1,75	0,41
1,78	0,43
1,80	0,40
1,83	0,42
1,85	0,39
1,88	0,40
1,90	0,40
1,92	0,41
1,95	0,40
1,97	0,42
2,00	0,40
2,02	0,43
2,05	0,43
2,07	0,42
2,10	0,41
2,12	0,41
2,14	0,39
2,17	0,42
2,19	0,40
2,22	0,41
2,24	0,41
2,27	0,42
2,29	0,42
2,31	0,44
2,34	0,42
2,36	0,43
2,39	0,43
2,41	0,43
2,44	0,43
2,46	0,41
2,49	0,41
2,51	0,42
2,53	0,43
2,56	0,43
2,58	0,40
2,61	0,40
2,63	0,44
2,66	0,44
2,68	0,43
2,71	0,42
2,73	0,42
2,75	0,43
2,78	0,43
2,80	0,40
2,83	0,41
2,85	0,40
2,88	0,41
2,90	0,42
2,93	0,44
2,95	0,43
2,97	0,45
3,00	0,43
3,02	0,45
3,05	0,43
3,07	0,43
3,10	0,43
3,12	0,43
3,15	0,41
3,17	0,43
3,19	0,42
3,22	0,44
3,24	0,42
3,27	0,43
3,29	0,43
3,32	0,44
3,34	0,42
3,36	0,44
3,39	0,43
3,41	0,44
3,44	0,42
3,46	0,44
3,49	0,44
3,51	0,46
3,54	0,42
3,56	0,44
3,58	0,41
3,61	0,43
3,63	0,43
3,66	0,43
3,68	0,41
3,71	0,44
3,73	0,42
3,76	0,47
3,78	0,47
3,80	0,45
3,83	0,44
3,85	0,45
3,88	0,44
3,90	0,45
3,93	0,42
3,95	0,40
3,98	0,41
4,00	0,42
4,02	0,42
4,05	0,42
4,07	0,43
4,10	0,45
4,12	0,45
4,15	0,45
4,17	0,45
4,20	0,44
4,22	0,44
4,24	0,44
4,27	0,43
4,29	0,44
4,32	0,44
4,34	0,45
4,37	0,48
4,39	0,47
4,42	0,47
4,44	0,45
4,46	0,47
4,49	0,48
4,51	0,48
4,54	0,45
4,56	0,48
4,59	0,45
4,61	0,46
4,63	0,46
4,66	0,46
4,68	0,44
4,71	0,45
4,73	0,42
4,76	0,46
4,78	0,44
4,81	0,45
4,83	0,46
4,85	0,46
4,88	0,45
4,90	0,47
4,93	0,46
4,95	0,48
4,98	0,46
5,00	0,45
5,03	0,46
5,05	0,46
5,07	0,45
5,10	0,49
5,12	0,46
5,15	0,48
5,17	0,48
5,20	0,48
5,22	0,48
5,25	0,49
5,27	0,45
5,29	0,48
5,32	0,45
5,34	0,45
5,37	0,45
5,39	0,45
5,42	0,45
5,44	0,46
5,47	0,46
5,49	0,48
5,51	0,48
5,54	0,48
5,56	0,51
5,59	0,52
5,61	0,52
5,64	0,53
5,66	0,52
5,68	0,52
5,71	0,53
5,73	0,50
5,76	0,51
5,78	0,50
5,81	0,50
5,83	0,53
5,86	0,54
5,88	0,54
5,90	0,56
5,93	0,55
5,95	0,57
5,98	0,56
6,00	0,55
6,03	0,56
6,05	0,55
6,08	0,55
6,10	0,55
6,12	0,54
6,15	0,57
6,17	0,57
6,20	0,58
6,22	0,59
6,25	0,61
6,27	0,60
6,30	0,63
6,32	0,62
6,34	0,62
6,37	0,60
6,39	0,62
6,42	0,61
6,44	0,65
6,47	0,62
6,49	0,64
6,52	0,63
6,54	0,64
6,56	0,65
6,59	0,66
6,61	0,64
6,64	0,66
6,66	0,64
6,69	0,68
6,71	0,69
6,73	0,69
6,76	0,69
6,78	0,69
6,81	0,68
6,83	0,70
6,86	0,68
6,88	0,69
6,91	0,68
6,93	0,69
6,95	0,70
6,98	0,71
