Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,43
0,04	0,44
0,07	0,45
0,09	0,45
0,12	0,45
0,14	0,45
0,17	0,46
0,19	0,43
0,21	0,43
0,24	0,42
0,26	0,44
0,29	0,45
0,31	0,44
0,34	0,44
0,36	0,45
0,39	0,44
0,41	0,42
0,43	0,42
0,46	0,40
0,48	0,43
0,51	0,41
0,53	0,40
0,56	0,41
0,58	0,43
0,61	0,43
0,63	0,45
0,65	0,44
0,68	0,47
0,70	0,47
0,73	0,47
0,75	0,48
0,78	0,51
0,80	0,47
0,83	0,48
0,85	0,45
0,87	0,47
0,90	0,46
0,92	0,45
0,95	0,42
0,97	0,45
1,00	0,43
1,02	0,46
1,05	0,43
1,07	0,44
1,09	0,43
1,12	0,44
1,14	0,43
1,17	0,45
1,19	0,43
1,22	0,46
1,24	0,45
1,26	0,46
1,29	0,45
1,31	0,47
1,34	0,44
1,36	0,47
1,39	0,46
1,41	0,48
1,44	0,46
1,46	0,48
1,48	0,48
1,51	0,49
1,53	0,45
1,56	0,48
1,58	0,45
1,61	0,46
1,63	0,43
1,66	0,42
1,68	0,41
1,70	0,43
1,73	0,42
1,75	0,44
1,78	0,41
1,80	0,42
1,83	0,45
1,85	0,46
1,88	0,46
1,90	0,46
1,92	0,44
1,95	0,46
1,97	0,47
2,00	0,45
2,02	0,45
2,05	0,43
2,07	0,43
2,10	0,44
2,12	0,45
2,14	0,45
2,17	0,45
2,19	0,43
2,22	0,45
2,24	0,44
2,27	0,45
2,29	0,44
2,31	0,45
2,34	0,42
2,36	0,45
2,39	0,43
2,41	0,45
2,44	0,45
2,46	0,47
2,49	0,46
2,51	0,45
2,53	0,44
2,56	0,47
2,58	0,45
2,61	0,47
2,63	0,43
2,66	0,44
2,68	0,45
2,71	0,47
2,73	0,43
2,75	0,45
2,78	0,42
2,80	0,45
2,83	0,46
2,85	0,48
2,88	0,46
2,90	0,48
2,93	0,46
2,95	0,49
2,97	0,47
3,00	0,46
3,02	0,44
3,05	0,46
3,07	0,44
3,10	0,45
3,12	0,43
3,15	0,44
3,17	0,42
3,19	0,42
3,22	0,41
3,24	0,42
3,27	0,41
3,29	0,45
3,32	0,43
3,34	0,46
3,36	0,46
3,39	0,47
3,41	0,48
3,44	0,48
3,46	0,44
3,49	0,47
3,51	0,45
3,54	0,46
3,56	0,49
3,58	0,48
3,61	0,48
3,63	0,49
3,66	0,49
3,68	0,51
3,71	0,50
3,73	0,47
3,76	0,51
3,78	0,50
3,80	0,52
3,83	0,51
3,85	0,51
3,88	0,51
3,90	0,51
3,93	0,49
3,95	0,50
3,98	0,48
4,00	0,49
4,02	0,49
4,05	0,49
4,07	0,47
4,10	0,48
4,12	0,47
4,15	0,49
4,17	0,48
4,20	0,47
4,22	0,46
4,24	0,48
4,27	0,47
4,29	0,51
4,32	0,48
4,34	0,49
4,37	0,49
4,39	0,51
4,42	0,51
4,44	0,52
4,46	0,49
4,49	0,51
4,51	0,49
4,54	0,49
4,56	0,47
4,59	0,48
4,61	0,46
4,63	0,49
4,66	0,46
4,68	0,50
4,71	0,48
4,73	0,50
4,76	0,51
4,78	0,53
4,81	0,52
4,83	0,55
4,85	0,52
4,88	0,55
4,90	0,52
4,93	0,51
4,95	0,51
4,98	0,51
5,00	0,49
5,03	0,54
5,05	0,53
5,07	0,56
5,10	0,56
5,12	0,58
5,15	0,58
5,17	0,59
5,20	0,57
5,22	0,58
5,25	0,57
5,27	0,56
5,29	0,54
5,32	0,54
5,34	0,55
5,37	0,55
5,39	0,56
5,42	0,56
5,44	0,57
5,47	0,58
5,49	0,60
5,51	0,59
5,54	0,59
5,56	0,57
5,59	0,59
5,61	0,58
5,64	0,59
5,66	0,57
5,68	0,58
5,71	0,57
5,73	0,60
5,76	0,61
5,78	0,64
5,81	0,63
5,83	0,65
5,86	0,64
5,88	0,68
5,90	0,65
5,93	0,66
5,95	0,65
5,98	0,65
6,00	0,64
6,03	0,66
6,05	0,63
6,08	0,67
6,10	0,65
6,12	0,66
6,15	0,66
6,17	0,69
6,20	0,68
6,22	0,73
6,25	0,71
6,27	0,74
6,30	0,74
6,32	0,76
6,34	0,75
6,37	0,77
6,39	0,74
6,42	0,76
6,44	0,73
6,47	0,75
6,49	0,75
6,52	0,77
6,54	0,76
6,56	0,78
6,59	0,76
6,61	0,81
6,64	0,81
6,66	0,82
6,69	0,82
6,71	0,81
6,73	0,80
6,76	0,83
6,78	0,82
6,81	0,84
6,83	0,82
6,86	0,83
6,88	0,86
6,91	0,88
6,93	0,88
6,95	0,89
6,98	0,88
