Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,45
0,04	0,46
0,07	0,46
0,09	0,46
0,12	0,48
0,14	0,47
0,17	0,48
0,19	0,48
0,21	0,47
0,24	0,49
0,26	0,50
0,29	0,48
0,31	0,49
0,34	0,47
0,36	0,47
0,39	0,47
0,41	0,46
0,43	0,47
0,46	0,46
0,48	0,46
0,51	0,47
0,53	0,47
0,56	0,47
0,58	0,49
0,61	0,48
0,63	0,49
0,65	0,50
0,68	0,50
0,70	0,50
0,73	0,51
0,75	0,48
0,78	0,50
0,80	0,47
0,83	0,47
0,85	0,46
0,87	0,47
0,90	0,47
0,92	0,47
0,95	0,46
0,97	0,51
1,00	0,49
1,02	0,50
1,05	0,49
1,07	0,48
1,09	0,47
1,12	0,47
1,14	0,45
1,17	0,47
1,19	0,46
1,22	0,46
1,24	0,47
1,26	0,48
1,29	0,47
1,31	0,50
1,34	0,48
1,36	0,50
1,39	0,49
1,41	0,50
1,44	0,49
1,46	0,51
1,48	0,48
1,51	0,49
1,53	0,47
1,56	0,48
1,58	0,46
1,61	0,47
1,63	0,47
1,66	0,48
1,68	0,46
1,70	0,51
1,73	0,50
1,75	0,51
1,78	0,51
1,80	0,48
1,83	0,47
1,85	0,48
1,88	0,45
1,90	0,46
1,92	0,43
1,95	0,43
1,97	0,46
2,00	0,46
2,02	0,46
2,05	0,49
2,07	0,48
2,10	0,50
2,12	0,51
2,14	0,50
2,17	0,50
2,19	0,48
2,22	0,46
2,24	0,48
2,27	0,45
2,29	0,46
2,31	0,46
2,34	0,47
2,36	0,47
2,39	0,47
2,41	0,46
2,44	0,51
2,46	0,50
2,49	0,50
2,51	0,50
2,53	0,48
2,56	0,49
2,58	0,49
2,61	0,47
2,63	0,47
2,66	0,47
2,68	0,45
2,71	0,49
2,73	0,48
2,75	0,47
2,78	0,48
2,80	0,48
2,83	0,49
2,85	0,50
2,88	0,49
2,90	0,50
2,93	0,49
2,95	0,49
2,97	0,49
3,00	0,48
3,02	0,47
3,05	0,47
3,07	0,46
3,10	0,47
3,12	0,47
3,15	0,46
3,17	0,49
3,19	0,51
3,22	0,51
3,24	0,51
3,27	0,48
3,29	0,48
3,32	0,47
3,34	0,45
3,36	0,44
3,39	0,44
3,41	0,44
3,44	0,47
3,46	0,47
3,49	0,48
3,51	0,49
3,54	0,49
3,56	0,50
3,58	0,50
3,61	0,49
3,63	0,50
3,66	0,49
3,68	0,48
3,71	0,49
3,73	0,47
3,76	0,47
3,78	0,48
3,80	0,47
3,83	0,47
3,85	0,48
3,88	0,47
3,90	0,51
3,93	0,50
3,95	0,50
3,98	0,50
4,00	0,49
4,02	0,49
4,05	0,49
4,07	0,47
4,10	0,48
4,12	0,47
4,15	0,47
4,17	0,50
4,20	0,50
4,22	0,49
4,24	0,49
4,27	0,48
4,29	0,50
4,32	0,50
4,34	0,49
4,37	0,48
4,39	0,50
4,42	0,49
4,44	0,51
4,46	0,49
4,49	0,49
4,51	0,48
4,54	0,51
4,56	0,50
4,59	0,52
4,61	0,50
4,63	0,55
4,66	0,52
4,68	0,53
4,71	0,51
4,73	0,51
4,76	0,49
4,78	0,50
4,81	0,47
4,83	0,50
4,85	0,48
4,88	0,50
4,90	0,50
4,93	0,52
4,95	0,51
4,98	0,52
5,00	0,51
5,03	0,54
5,05	0,54
5,07	0,55
5,10	0,54
5,12	0,55
5,15	0,53
5,17	0,56
5,20	0,52
5,22	0,53
5,25	0,52
5,27	0,53
5,29	0,54
5,32	0,55
5,34	0,53
5,37	0,58
5,39	0,58
5,42	0,58
5,44	0,57
5,47	0,57
5,49	0,58
5,51	0,59
5,54	0,57
5,56	0,58
5,59	0,57
5,61	0,57
5,64	0,59
5,66	0,58
5,68	0,59
5,71	0,58
5,73	0,59
5,76	0,60
5,78	0,61
5,81	0,61
5,83	0,63
5,86	0,62
5,88	0,63
5,90	0,64
5,93	0,64
5,95	0,63
5,98	0,64
6,00	0,63
6,03	0,64
6,05	0,63
6,08	0,63
6,10	0,65
6,12	0,66
6,15	0,65
6,17	0,68
6,20	0,67
6,22	0,70
6,25	0,69
6,27	0,70
6,30	0,71
6,32	0,70
6,34	0,69
6,37	0,73
6,39	0,72
6,42	0,74
6,44	0,74
6,47	0,75
6,49	0,77
6,52	0,78
6,54	0,76
6,56	0,77
6,59	0,77
6,61	0,78
6,64	0,79
6,66	0,79
6,69	0,79
6,71	0,81
6,73	0,80
6,76	0,83
6,78	0,83
6,81	0,83
6,83	0,85
6,86	0,86
6,88	0,85
6,91	0,87
6,93	0,85
6,95	0,86
6,98	0,86
