Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,18
0,04	0,19
0,07	0,20
0,09	0,22
0,12	0,24
0,14	0,22
0,17	0,22
0,19	0,22
0,21	0,23
0,24	0,21
0,26	0,22
0,29	0,20
0,31	0,21
0,34	0,20
0,36	0,19
0,39	0,20
0,41	0,22
0,43	0,20
0,46	0,23
0,48	0,22
0,51	0,23
0,53	0,23
0,56	0,23
0,58	0,21
0,61	0,21
0,63	0,20
0,65	0,21
0,68	0,19
0,70	0,20
0,73	0,20
0,75	0,21
0,78	0,21
0,80	0,23
0,83	0,24
0,85	0,25
0,87	0,25
0,90	0,24
0,92	0,24
0,95	0,25
0,97	0,24
1,00	0,26
1,02	0,26
1,05	0,27
1,07	0,28
1,09	0,27
1,12	0,27
1,14	0,29
1,17	0,25
1,19	0,26
1,22	0,24
1,24	0,23
1,26	0,24
1,29	0,25
1,31	0,25
1,34	0,26
1,36	0,27
1,39	0,27
1,41	0,26
1,44	0,25
1,46	0,25
1,48	0,25
1,51	0,24
1,53	0,23
1,56	0,24
1,58	0,25
1,61	0,25
1,63	0,22
1,66	0,24
1,68	0,24
1,70	0,24
1,73	0,24
1,75	0,24
1,78	0,25
1,80	0,25
1,83	0,23
1,85	0,24
1,88	0,23
1,90	0,22
1,92	0,23
1,95	0,23
1,97	0,23
2,00	0,24
2,02	0,23
2,05	0,23
2,07	0,22
2,10	0,21
2,12	0,21
2,14	0,19
2,17	0,18
2,19	0,20
2,22	0,20
2,24	0,21
2,27	0,22
2,29	0,22
2,31	0,24
2,34	0,26
2,36	0,24
2,39	0,23
2,41	0,22
2,44	0,22
2,46	0,25
2,49	0,25
2,51	0,25
2,53	0,26
2,56	0,27
2,58	0,28
2,61	0,30
2,63	0,28
2,66	0,29
2,68	0,27
2,71	0,26
2,73	0,26
2,75	0,26
2,78	0,22
2,80	0,23
2,83	0,22
2,85	0,26
2,88	0,25
2,90	0,24
2,93	0,25
2,95	0,27
2,97	0,26
3,00	0,26
3,02	0,23
3,05	0,24
3,07	0,23
3,10	0,22
3,12	0,22
3,15	0,21
3,17	0,20
3,19	0,23
3,22	0,22
3,24	0,23
3,27	0,22
3,29	0,23
3,32	0,25
3,34	0,25
3,36	0,22
3,39	0,24
3,41	0,23
3,44	0,23
3,46	0,22
3,49	0,22
3,51	0,21
3,54	0,22
3,56	0,21
3,58	0,24
3,61	0,23
3,63	0,24
3,66	0,25
3,68	0,26
3,71	0,26
3,73	0,27
3,76	0,25
3,78	0,26
3,80	0,26
3,83	0,25
3,85	0,25
3,88	0,25
3,90	0,24
3,93	0,28
3,95	0,27
3,98	0,27
4,00	0,27
4,02	0,27
4,05	0,28
4,07	0,30
4,10	0,26
4,12	0,27
4,15	0,25
4,17	0,25
4,20	0,25
4,22	0,23
4,24	0,21
4,27	0,22
4,29	0,22
4,32	0,25
4,34	0,25
4,37	0,27
4,39	0,29
4,42	0,30
4,44	0,30
4,46	0,29
4,49	0,28
4,51	0,28
4,54	0,28
4,56	0,27
4,59	0,27
4,61	0,26
4,63	0,28
4,66	0,30
4,68	0,29
4,71	0,29
4,73	0,29
4,76	0,29
4,78	0,34
4,81	0,31
4,83	0,31
4,85	0,32
4,88	0,31
4,90	0,31
4,93	0,32
4,95	0,28
4,98	0,30
5,00	0,30
5,03	0,30
5,05	0,32
5,07	0,31
5,10	0,31
5,12	0,35
5,15	0,34
5,17	0,34
5,20	0,34
5,22	0,34
5,25	0,35
5,27	0,36
5,29	0,33
5,32	0,35
5,34	0,33
5,37	0,35
5,39	0,38
5,42	0,37
5,44	0,37
5,47	0,38
5,49	0,37
5,51	0,41
5,54	0,40
5,56	0,38
5,59	0,39
5,61	0,38
5,64	0,40
5,66	0,41
5,68	0,40
5,71	0,41
5,73	0,40
5,76	0,39
5,78	0,41
5,81	0,42
5,83	0,43
5,86	0,46
5,88	0,46
5,90	0,45
5,93	0,48
5,95	0,48
5,98	0,51
6,00	0,51
6,03	0,49
6,05	0,49
6,08	0,50
6,10	0,50
6,12	0,55
6,15	0,54
6,17	0,55
6,20	0,56
6,22	0,59
6,25	0,62
6,27	0,63
6,30	0,61
6,32	0,61
6,34	0,59
6,37	0,60
6,39	0,63
6,42	0,64
6,44	0,63
6,47	0,63
6,49	0,63
6,52	0,67
6,54	0,66
6,56	0,65
6,59	0,66
6,61	0,67
6,64	0,69
6,66	0,71
6,69	0,71
6,71	0,74
6,73	0,75
6,76	0,74
6,78	0,76
6,81	0,77
6,83	0,77
6,86	0,80
6,88	0,80
6,91	0,81
6,93	0,82
6,95	0,82
6,98	0,86
