Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,50
0,04	0,50
0,07	0,51
0,09	0,49
0,12	0,49
0,14	0,50
0,17	0,51
0,19	0,50
0,21	0,50
0,24	0,49
0,26	0,51
0,29	0,52
0,31	0,50
0,34	0,51
0,36	0,51
0,39	0,51
0,41	0,52
0,43	0,51
0,46	0,51
0,48	0,51
0,51	0,50
0,53	0,51
0,56	0,50
0,58	0,50
0,61	0,52
0,63	0,53
0,65	0,52
0,68	0,53
0,70	0,51
0,73	0,54
0,75	0,52
0,78	0,52
0,80	0,51
0,83	0,51
0,85	0,49
0,87	0,52
0,90	0,50
0,92	0,52
0,95	0,50
0,97	0,51
1,00	0,51
1,02	0,53
1,05	0,51
1,07	0,52
1,09	0,51
1,12	0,51
1,14	0,52
1,17	0,51
1,19	0,50
1,22	0,51
1,24	0,49
1,26	0,52
1,29	0,51
1,31	0,51
1,34	0,52
1,36	0,52
1,39	0,51
1,41	0,52
1,44	0,50
1,46	0,51
1,48	0,49
1,51	0,49
1,53	0,49
1,56	0,48
1,58	0,47
1,61	0,50
1,63	0,48
1,66	0,50
1,68	0,50
1,70	0,50
1,73	0,51
1,75	0,52
1,78	0,49
1,80	0,50
1,83	0,49
1,85	0,50
1,88	0,51
1,90	0,51
1,92	0,51
1,95	0,52
1,97	0,51
2,00	0,53
2,02	0,53
2,05	0,50
2,07	0,51
2,10	0,50
2,12	0,50
2,14	0,50
2,17	0,49
2,19	0,49
2,22	0,50
2,24	0,50
2,27	0,51
2,29	0,50
2,31	0,50
2,34	0,51
2,36	0,51
2,39	0,51
2,41	0,51
2,44	0,50
2,46	0,52
2,49	0,51
2,51	0,50
2,53	0,50
2,56	0,50
2,58	0,49
2,61	0,51
2,63	0,49
2,66	0,50
2,68	0,50
2,71	0,51
2,73	0,51
2,75	0,52
2,78	0,50
2,80	0,53
2,83	0,52
2,85	0,52
2,88	0,52
2,90	0,51
2,93	0,50
2,95	0,51
2,97	0,50
3,00	0,50
3,02	0,48
3,05	0,48
3,07	0,49
3,10	0,50
3,12	0,49
3,15	0,50
3,17	0,50
3,19	0,52
3,22	0,51
3,24	0,51
3,27	0,50
3,29	0,50
3,32	0,49
3,34	0,51
3,36	0,51
3,39	0,52
3,41	0,51
3,44	0,51
3,46	0,51
3,49	0,52
3,51	0,49
3,54	0,50
3,56	0,49
3,58	0,49
3,61	0,49
3,63	0,48
3,66	0,50
3,68	0,50
3,71	0,50
3,73	0,50
3,76	0,49
3,78	0,47
3,80	0,50
3,83	0,49
3,85	0,50
3,88	0,50
3,90	0,51
3,93	0,52
3,95	0,54
3,98	0,52
4,00	0,54
4,02	0,53
4,05	0,53
4,07	0,53
4,10	0,54
4,12	0,53
4,15	0,56
4,17	0,53
4,20	0,54
4,22	0,53
4,24	0,54
4,27	0,53
4,29	0,54
4,32	0,52
4,34	0,53
4,37	0,51
4,39	0,53
4,42	0,51
4,44	0,52
4,46	0,51
4,49	0,51
4,51	0,50
4,54	0,53
4,56	0,51
4,59	0,53
4,61	0,51
4,63	0,53
4,66	0,54
4,68	0,55
4,71	0,52
4,73	0,55
4,76	0,53
4,78	0,55
4,81	0,55
4,83	0,57
4,85	0,55
4,88	0,57
4,90	0,55
4,93	0,58
4,95	0,57
4,98	0,56
5,00	0,54
5,03	0,54
5,05	0,53
5,07	0,55
5,10	0,54
5,12	0,54
5,15	0,53
5,17	0,55
5,20	0,57
5,22	0,56
5,25	0,54
5,27	0,56
5,29	0,55
5,32	0,56
5,34	0,57
5,37	0,56
5,39	0,58
5,42	0,59
5,44	0,58
5,47	0,60
5,49	0,60
5,51	0,60
5,54	0,62
5,56	0,62
5,59	0,62
5,61	0,63
5,64	0,63
5,66	0,65
5,68	0,66
5,71	0,64
5,73	0,65
5,76	0,63
5,78	0,64
5,81	0,64
5,83	0,63
5,86	0,62
5,88	0,63
5,90	0,61
5,93	0,64
5,95	0,62
5,98	0,63
6,00	0,64
6,03	0,65
6,05	0,65
6,08	0,68
6,10	0,67
6,12	0,70
6,15	0,69
6,17	0,69
6,20	0,69
6,22	0,69
6,25	0,67
6,27	0,71
6,30	0,71
6,32	0,73
6,34	0,73
6,37	0,74
6,39	0,76
6,42	0,77
6,44	0,75
6,47	0,77
6,49	0,75
6,52	0,76
6,54	0,75
6,56	0,76
6,59	0,76
6,61	0,77
6,64	0,76
6,66	0,78
6,69	0,76
6,71	0,77
6,73	0,78
6,76	0,79
6,78	0,79
6,81	0,81
6,83	0,81
6,86	0,84
6,88	0,85
6,91	0,85
6,93	0,85
6,95	0,86
6,98	0,86
