Corriente	N minimo
0,14	0,00
0,6	0,50
0,91	1,00
1,81	1,00
2,59	0,50
-0,39	1,00
-0,39	1,00
-0,52	1,50
-0,64	2,00
-0,86	2,50
-2,13	2,00
-2,18	2,50
-1,95	3,00
-1,32	3,50
-1,16	4,00
-0,14	4,50
0,14	4,50
0,59	5,00
0,7	5,50
1,02	6,00
2,05	0,00
3,05	0,50
2,5	1,00
2,01	1,50
1,78	2,00
0,14	1,50
0,14	0,00
0,65	0,50
1,99	0,00
2,69	-0,50
3,13	-0,50
2,35	0,00
1,79	0,50
1,4	1,00
1,03	1,50
0,4	1,00
0,14	1,00
0,14	0,00
0,58	0,50
0,85	1,00
1,83	0,50
2,97	0,00
3,1	0,00
2,55	0,50
2,24	1,00
1,97	1,50
1,54	2,00
0,56	2,50
0,14	2,00
