Ángulo del crista	Tasa con 35kV
theta |°              R(35kV)/Imp/s

3,0	4937,0
3,1	4217,0
3,2	3296,0
3,3	2795,0
3,4	2299,0
3,5	1978,0
3,6	1843,0
3,7	1812,0
3,8	1810,0
3,9	1787,0
4,0	1774,0
4,1	1772,0
4,2	1764,0
4,3	1722,0
4,4	1738,0
4,5	1681,0
4,6	1691,0
4,7	1632,0
4,8	1606,0
4,9	1577,0
5,0	1575,0
5,1	1576,0
5,2	1517,0
5,3	1536,0
5,4	1466,0
5,5	1440,0
5,6	1454,0
5,7	1427,0
5,8	1400,0
5,9	1382,0
6,0	1365,0
6,1	1335,0
6,2	1338,0
6,3	1306,0
6,4	1283,0
6,5	1283,0
6,6	1299,0
6,7	1229,0
6,8	1229,0
6,9	1189,0
7,0	1199,0
7,1	1130,0
7,2	1138,0
7,3	1079,0
7,4	1091,0
7,5	1047,0
7,6	990,0
7,7	926,0
7,8	930,0
7,9	840,0
8,0	838,0
8,1	806,0
8,2	746,0
8,3	734,0
8,4	718,0
8,5	659,0
8,6	643,0
8,7	625,0
8,8	593,0
8,9	577,0
9,0	551,0
9,1	532,0
9,2	519,0
9,3	514,0
9,4	499,0
9,5	471,0
9,6	484,0
9,7	473,0
9,8	461,0
9,9	463,0
10,0	483,0
10,1	479,0
10,2	451,0
10,3	456,0
10,4	453,0
10,5	470,0
10,6	443,0
10,7	438,0
10,8	437,0
10,9	468,0
11,0	435,0
11,1	455,0
11,2	439,0
11,3	446,0
11,4	446,0
11,5	441,0
11,6	418,0
11,7	411,0
11,8	406,0
11,9	420,0
12,0	423,0
12,1	432,0
12,2	418,0
12,3	417,0
12,4	419,0
12,5	422,0
12,6	432,0
12,7	409,0
12,8	399,0
12,9	428,0
13,0	409,0
13,1	395,0
13,2	401,0
13,3	390,0
13,4	405,0
13,5	402,0
13,6	398,0
13,7	393,0
13,8	400,0
13,9	404,0
14,0	390,0
14,1	410,0
14,2	386,0
14,3	392,0
14,4	380,0
14,5	375,0
14,6	392,0
14,7	371,0
14,8	368,0
14,9	366,0
15,0	360,0
15,1	348,0
15,2	372,0
15,3	385,0
15,4	388,0
15,5	372,0
15,6	361,0
15,7	362,0
15,8	390,0
15,9	354,0
16,0	351,0
16,1	354,0
16,2	350,0
16,3	365,0
16,4	346,0
16,5	359,0
16,6	351,0
16,7	355,0
16,8	349,0
16,9	360,0
17,0	362,0
17,1	364,0
17,2	359,0
17,3	363,0
17,4	353,0
17,5	358,0
17,6	339,0
17,7	373,0
17,8	367,0
17,9	355,0
18,0	348,0
18,1	351,0
18,2	388,0
18,3	432,0
18,4	743,0
18,5	1635,0
18,6	2008,0
18,7	1828,0
18,8	800,0
18,9	493,0
19,0	453,0
19,1	446,0
19,2	466,0
19,3	409,0
19,4	395,0
19,5	395,0
19,6	368,0
19,7	375,0
19,8	390,0
19,9	382,0
20,0	402,0
20,1	404,0
20,2	424,0
20,3	459,0
20,4	491,0
20,5	552,0
20,6	874,0
20,7	2239,0
20,8	5534,0
20,9	7824,0
21,0	5704,0
21,1	1176,0
21,2	587,0
21,3	532,0
21,4	500,0
21,5	434,0
21,6	369,0
21,7	361,0
21,8	371,0
21,9	344,0
22,0	324,0
22,1	330,0
22,2	317,0
22,3	313,0
22,4	311,0
22,5	310,0
22,6	327,0
22,7	322,0
22,8	327,0
22,9	315,0
23,0	308,0
23,1	294,0
23,2	282,0
23,3	301,0
23,4	292,0
23,5	283,0
23,6	282,0
23,7	294,0
23,8	273,0
23,9	275,0
24,0	279,0
24,1	276,0
24,2	267,0
24,3	277,0
24,4	272,0
24,5	263,0
24,6	246,0
24,7	266,0
24,8	272,0
24,9	257,0
25,0	257,0
25,1	243,0
25,2	246,0
25,3	261,0
25,4	251,0
25,5	263,0
25,6	257,0
25,7	270,0
25,8	253,0
25,9	242,0
26,0	246,0
26,1	255,0
26,2	245,0
26,3	248,0
26,4	239,0
26,5	249,0
26,6	250,0
26,7	253,0
26,8	247,0
26,9	230,0
27,0	224,0
27,1	247,0
27,2	255,0
27,3	251,0
27,4	243,0
27,5	245,0
27,6	248,0
27,7	244,0
27,8	235,0
27,9	236,0
28,0	236,0
28,1	240,0
28,2	254,0
28,3	241,0
28,4	261,0
28,5	260,0
28,6	247,0
28,7	256,0
28,8	222,0
28,9	246,0
29,0	241,0
29,1	256,0
29,2	234,0
29,3	244,0
29,4	236,0
29,5	250,0
29,6	224,0
29,7	236,0
29,8	225,0
29,9	235,0
30,0	222,0
30,1	235,0
30,2	221,0
30,3	215,0
30,4	225,0
30,5	214,0
30,6	217,0
30,7	207,0
30,8	228,0
30,9	221,0
31,0	216,0
31,1	235,0
31,2	218,0
31,3	236,0
31,4	233,0
31,5	240,0
31,6	246,0
31,7	240,0
31,8	240,0
31,9	235,0
32,0	257,0
32,1	233,0
32,2	221,0
32,3	218,0
32,4	204,0
32,5	232,0
32,6	226,0
32,7	234,0
32,8	209,0
32,9	230,0
33,0	228,0
33,1	240,0
33,2	228,0
33,3	222,0
33,4	229,0
33,5	217,0
33,6	219,0
33,7	213,0
33,8	198,0
33,9	211,0
34,0	201,0
34,1	217,0
34,2	207,0
34,3	208,0
34,4	211,0
34,5	213,0
34,6	193,0
34,7	210,0
34,8	210,0
34,9	213,0
35,0	201,0
35,1	207,0
35,2	217,0
35,3	190,0
35,4	214,0
35,5	202,0
35,6	195,0
35,7	207,0
35,8	219,0
35,9	207,0
36,0	194,0
36,1	213,0
36,2	212,0
36,3	210,0
36,4	198,0
36,5	200,0
36,6	198,0
36,7	188,0
36,8	188,0
36,9	208,0
37,0	206,0
37,1	200,0
37,2	210,0
37,3	199,0
37,4	216,0
37,5	214,0
37,6	193,0
37,7	203,0
37,8	185,0
37,9	202,0
38,0	202,0
38,1	203,0
38,2	215,0
38,3	200,0
38,4	201,0
38,5	212,0
38,6	214,0
38,7	198,0
38,8	204,0
38,9	199,0
39,0	205,0
39,1	214,0
39,2	198,0
39,3	202,0
39,4	203,0
39,5	203,0
39,6	193,0
39,7	194,0
39,8	202,0
39,9	195,0
40,0	192,0
40,1	203,0
40,2	202,0
40,3	203,0
40,4	205,0
40,5	201,0
40,6	199,0
40,7	188,0
40,8	211,0
40,9	193,0
41,0	200,0
41,1	217,0
41,2	197,0
41,3	189,0
41,4	200,0
41,5	218,0
41,6	228,0
41,7	216,0
41,8	221,0
41,9	286,0
42,0	472,0
42,1	478,0
42,2	338,0
42,3	240,0
42,4	221,0
42,5	219,0
42,6	218,0
42,7	204,0
42,8	203,0
42,9	199,0
43,0	189,0
43,1	198,0
43,2	207,0
43,3	190,0
43,4	215,0
43,5	217,0
43,6	199,0
43,7	204,0
43,8	204,0
43,9	195,0
44,0	197,0
44,1	189,0
44,2	199,0
44,3	189,0
44,4	189,0
44,5	188,0
44,6	202,0
44,7	202,0
44,8	198,0
44,9	177,0
45,0	199,0
45,1	204,0
45,2	190,0
45,3	196,0
45,4	199,0
45,5	200,0
45,6	192,0
45,7	197,0
45,8	204,0
45,9	196,0
46,0	197,0
46,1	202,0
46,2	203,0
46,3	195,0
46,4	213,0
46,5	198,0
46,6	211,0
46,7	201,0
46,8	211,0
46,9	201,0
47,0	222,0
47,1	224,0
47,2	222,0
47,3	212,0
47,4	227,0
47,5	222,0
47,6	234,0
47,7	242,0
47,8	241,0
47,9	277,0
48,0	352,0
48,1	542,0
48,2	1421,0
48,3	1596,0
48,4	1189,0
48,5	818,0
48,6	427,0
48,7	270,0
48,8	243,0
48,9	230,0
49,0	231,0
49,1	218,0
49,2	220,0
