Ángulo del crista	Tasa con 11kV	Tasa con 13kV	Tasa con 15kV	Tasa con 17kV	Tasa con 19kV	Tasa con 21kV	Tasa con 23kV	Tasa con 25kV	Tasa con 27kV	Tasa con 29kV	Tasa con 31kV	Tasa con 33kV	Tasa con 35kV
theta/°	R(11kV)/Imp/s	R(13kV)/Imp/s	R(15kV)/Imp/s	R(17kV)/Imp/s	R(19kV)/Imp/s	R(21kV)/Imp/s	R(23kV)/Imp/s	R(25kV)/Imp/s	R(27kV)/Imp/s	R(29kV)/Imp/s	R(31kV)/Imp/s	R(33kV)/Imp/s	R(35kV)/Imp/s

19,0	46,0	88,0	156,0	269,0	364,0	491,0	623,0	0,0	0,0	0,0	0,0	0,0	0,0
19,1	36,0	98,0	162,0	263,0	348,0	472,0	622,0	0,0	0,0	0,0	0,0	0,0	0,0
19,2	38,0	94,0	147,0	248,0	329,0	480,0	589,0	0,0	0,0	0,0	0,0	0,0	0,0
19,3	43,0	86,0	163,0	244,0	349,0	449,0	595,0	0,0	0,0	0,0	0,0	0,0	0,0
19,4	39,0	81,0	156,0	235,0	336,0	448,0	587,0	0,0	0,0	0,0	0,0	0,0	0,0
19,5	47,0	83,0	148,0	240,0	337,0	441,0	529,0	0,0	0,0	0,0	0,0	0,0	0,0
19,6	38,0	91,0	153,0	234,0	311,0	433,0	580,0	0,0	0,0	0,0	0,0	0,0	0,0
19,7	42,0	95,0	158,0	244,0	326,0	450,0	588,0	0,0	0,0	0,0	0,0	0,0	0,0
19,8	39,0	90,0	151,0	247,0	343,0	457,0	560,0	0,0	0,0	0,0	0,0	0,0	0,0
19,9	46,0	91,0	166,0	225,0	323,0	458,0	577,0	0,0	0,0	0,0	0,0	0,0	0,0
20,0	36,0	85,0	170,0	235,0	339,0	460,0	581,0	0,0	0,0	0,0	0,0	0,0	0,0
20,1	32,0	99,0	151,0	236,0	358,0	456,0	591,0	0,0	0,0	0,0	0,0	0,0	0,0
20,2	39,0	103,0	158,0	252,0	372,0	509,0	642,0	0,0	0,0	0,0	0,0	0,0	0,0
20,3	34,0	109,0	194,0	300,0	416,0	549,0	750,0	0,0	0,0	0,0	0,0	0,0	0,0
20,4	64,0	217,0	383,0	559,0	786,0	1024,0	1259,0	0,0	0,0	0,0	0,0	0,0	0,0
20,5	70,0	211,0	386,0	574,0	835,0	1095,0	1357,0	0,0	0,0	0,0	0,0	0,0	0,0
20,6	238,0	729,0	1247,0	1900,0	2600,0	3290,0	4079,0	0,0	0,0	0,0	0,0	0,0	0,0
20,7	291,0	912,0	1718,0	2573,0	3563,0	4524,0	5758,0	0,0	0,0	0,0	0,0	0,0	0,0
20,8	229,0	742,0	1427,0	2193,0	3039,0	3792,0	4843,0	0,0	0,0	0,0	0,0	0,0	0,0
20,9	60,0	164,0	321,0	501,0	725,0	939,0	1210,0	0,0	0,0	0,0	0,0	0,0	0,0
21,0	36,0	106,0	171,0	264,0	421,0	545,0	690,0	0,0	0,0	0,0	0,0	0,0	0,0
21,1	42,0	106,0	159,0	271,0	380,0	516,0	636,0	0,0	0,0	0,0	0,0	0,0	0,0
21,2	31,0	90,0	167,0	250,0	329,0	476,0	603,0	0,0	0,0	0,0	0,0	0,0	0,0
21,3	34,0	82,0	149,0	239,0	338,0	460,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
21,4	45,0	86,0	154,0	223,0	292,0	414,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
21,5	36,0	70,0	142,0	209,0	302,0	398,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
21,6	36,0	75,0	142,0	217,0	296,0	429,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
21,7	36,0	71,0	123,0	200,0	318,0	378,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
21,8	31,0	70,0	138,0	205,0	281,0	358,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
21,9	31,0	71,0	122,0	195,0	279,0	389,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22,0	40,0	71,0	128,0	214,0	277,0	364,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22,1	27,0	77,0	135,0	191,0	282,0	361,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22,2	29,0	71,0	120,0	190,0	268,0	358,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
