Ángulo del crista	Tasa con 35kV
theta/°         	R(35kV)/Imp/s

4,0	8,0
4,2	13,0
4,4	10,0
4,6	14,0
4,8	10,0
5,0	6,0
5,2	8,0
5,4	9,0
5,6	9,0
5,8	9,0
6,0	10,0
6,2	6,0
6,4	9,0
6,6	6,0
6,8	11,0
7,0	4,0
7,2	9,0
7,4	4,0
7,6	6,0
7,8	11,0
8,0	12,0
8,2	7,0
8,4	8,0
8,6	9,0
8,8	8,0
9,0	8,0
9,2	7,0
9,4	9,0
9,6	13,0
9,8	8,0
10,0	9,0
10,2	8,0
10,4	12,0
10,6	12,0
10,8	8,0
11,0	15,0
11,2	8,0
11,4	5,0
11,6	11,0
11,8	10,0
12,0	8,0
12,2	11,0
12,4	9,0
12,6	16,0
12,8	6,0
13,0	8,0
13,2	11,0
13,4	11,0
13,6	11,0
13,8	11,0
14,0	11,0
14,2	17,0
14,4	13,0
14,6	11,0
14,8	12,0
15,0	9,0
15,2	11,0
15,4	6,0
15,6	10,0
15,8	7,0
16,0	11,0
16,2	12,0
16,4	10,0
16,6	8,0
16,8	10,0
17,0	12,0
17,2	11,0
17,4	8,0
17,6	10,0
17,8	13,0
18,0	10,0
18,2	13,0
18,4	54,0
18,6	12,0
18,8	11,0
19,0	8,0
19,2	14,0
19,4	12,0
19,6	12,0
19,8	11,0
20,0	11,0
20,2	14,0
20,4	10,0
20,6	186,0
20,8	161,0
21,0	15,0
