Ángulo del crista	Tasa con 13kV	Tasa con 15kV	Tasa con 17kV	Tasa con 19kV	Tasa con 21kV	Tasa con 23kV	Tasa con 25kV	Tasa con 27kV	Tasa con 29kV	Tasa con 31kV	Tasa con 33kV	Tasa con 35kV
theta/°	R(13kV)/Imp/s	R(15kV)/Imp/s	R(17kV)/Imp/s	R(19kV)/Imp/s	R(21kV)/Imp/s	R(23kV)/Imp/s	R(25kV)/Imp/s	R(27kV)/Imp/s	R(29kV)/Imp/s	R(31kV)/Imp/s	R(33kV)/Imp/s	R(35kV)/Imp/s

4,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
4,2	0,0	1,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
4,4	0,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
4,6	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
4,8	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
5,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
5,2	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
5,4	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
5,6	1,0	1,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
5,8	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
6,0	0,0	1,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
6,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
6,4	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
6,6	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
6,8	0,0	1,0	1,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
7,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
7,2	0,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
7,4	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
7,6	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
7,8	0,0	1,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
8,0	1,0	0,0	0,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
8,2	0,0	1,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
8,4	0,0	2,0	1,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
8,6	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
8,8	0,0	1,0	1,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
9,0	0,0	1,0	1,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
9,2	0,0	2,0	2,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
9,4	0,0	1,0	0,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
9,6	0,0	0,0	0,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
9,8	1,0	1,0	1,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
10,0	0,0	1,0	0,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
10,2	0,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
10,4	0,0	1,0	0,0	5,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
10,6	1,0	0,0	3,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
10,8	0,0	1,0	1,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
11,0	0,0	1,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
11,2	0,0	1,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
11,4	0,0	1,0	1,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
11,6	0,0	1,0	3,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
11,8	0,0	2,0	2,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
12,0	1,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
12,2	0,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
12,4	1,0	0,0	3,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
12,6	0,0	1,0	2,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
12,8	1,0	2,0	2,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
13,0	0,0	1,0	2,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
13,2	1,0	2,0	1,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
